depth,min_samples_split,val_accuracy,val_f1
2,2,0.8461538461538461,0.8627450980392157
2,5,0.8461538461538461,0.8627450980392157
2,7,0.8461538461538461,0.8627450980392157
2,10,0.8461538461538461,0.8627450980392157
2,20,0.8461538461538461,0.8627450980392157
2,30,0.8461538461538461,0.8627450980392157
2,40,0.8461538461538461,0.8627450980392157
3,2,0.8681318681318682,0.8775510204081632
3,5,0.8681318681318682,0.8775510204081632
3,7,0.8681318681318682,0.8775510204081632
3,10,0.8681318681318682,0.8775510204081632
3,20,0.8681318681318682,0.8775510204081632
3,30,0.8681318681318682,0.8775510204081632
3,40,0.8681318681318682,0.8775510204081632
4,2,0.8681318681318682,0.8775510204081632
4,5,0.8681318681318682,0.8775510204081632
4,7,0.8681318681318682,0.8775510204081632
4,10,0.8681318681318682,0.8775510204081632
4,20,0.8681318681318682,0.8775510204081632
4,30,0.8681318681318682,0.8775510204081632
4,40,0.8681318681318682,0.8775510204081632
5,2,0.8791208791208791,0.8888888888888888
5,5,0.8791208791208791,0.8888888888888888
5,7,0.8791208791208791,0.8888888888888888
5,10,0.8791208791208791,0.8888888888888888
5,20,0.8681318681318682,0.88
5,30,0.8681318681318682,0.88
5,40,0.8681318681318682,0.8775510204081632
6,2,0.8351648351648352,0.8421052631578947
6,5,0.8351648351648352,0.8421052631578947
6,7,0.8571428571428571,0.865979381443299
6,10,0.8571428571428571,0.865979381443299
6,20,0.8461538461538461,0.8571428571428571
6,30,0.8461538461538461,0.8627450980392157
6,40,0.8461538461538461,0.86
7,2,0.8131868131868132,0.8210526315789474
7,5,0.8131868131868132,0.8210526315789474
7,7,0.8461538461538461,0.8571428571428571
7,10,0.8571428571428571,0.8686868686868687
7,20,0.8571428571428571,0.8712871287128713
7,30,0.8461538461538461,0.8627450980392157
7,40,0.8461538461538461,0.86
8,2,0.7802197802197802,0.7872340425531915
8,5,0.7802197802197802,0.7872340425531915
8,7,0.8131868131868132,0.8247422680412371
8,10,0.8241758241758241,0.8367346938775511
8,20,0.8571428571428571,0.8712871287128713
8,30,0.8461538461538461,0.8627450980392157
8,40,0.8461538461538461,0.86
9,2,0.8021978021978022,0.8163265306122449
9,5,0.8021978021978022,0.8163265306122449
9,7,0.8131868131868132,0.8282828282828283
9,10,0.8241758241758241,0.84
9,20,0.8571428571428571,0.8737864077669902
9,30,0.8461538461538461,0.8627450980392157
9,40,0.8461538461538461,0.86
10,2,0.8131868131868132,0.8282828282828283
10,5,0.8131868131868132,0.8282828282828283
10,7,0.8241758241758241,0.84
10,10,0.8351648351648352,0.8514851485148515
10,20,0.8571428571428571,0.8737864077669902
10,30,0.8461538461538461,0.8627450980392157
10,40,0.8461538461538461,0.86
12,2,0.8131868131868132,0.8282828282828283
12,5,0.8131868131868132,0.8282828282828283
12,7,0.8241758241758241,0.84
12,10,0.8351648351648352,0.8514851485148515
12,20,0.8571428571428571,0.8737864077669902
12,30,0.8461538461538461,0.8627450980392157
12,40,0.8461538461538461,0.86
14,2,0.8131868131868132,0.8282828282828283
14,5,0.8131868131868132,0.8282828282828283
14,7,0.8241758241758241,0.84
14,10,0.8351648351648352,0.8514851485148515
14,20,0.8571428571428571,0.8737864077669902
14,30,0.8461538461538461,0.8627450980392157
14,40,0.8461538461538461,0.86
16,2,0.8131868131868132,0.8282828282828283
16,5,0.8131868131868132,0.8282828282828283
16,7,0.8241758241758241,0.84
16,10,0.8351648351648352,0.8514851485148515
16,20,0.8571428571428571,0.8737864077669902
16,30,0.8461538461538461,0.8627450980392157
16,40,0.8461538461538461,0.86
18,2,0.8131868131868132,0.8282828282828283
18,5,0.8131868131868132,0.8282828282828283
18,7,0.8241758241758241,0.84
18,10,0.8351648351648352,0.8514851485148515
18,20,0.8571428571428571,0.8737864077669902
18,30,0.8461538461538461,0.8627450980392157
18,40,0.8461538461538461,0.86
20,2,0.8131868131868132,0.8282828282828283
